Cluster,Latitude,Longitude
0,6.649112199999999,3.2710606
1,6.5224636,3.3350587
2,6.555018899999999,3.3962023
3,6.6053337,3.2792438
4,6.6403558,3.3176431
4,6.6403558,3.3176431
4,6.6403558,3.3176431
4,6.6403558,3.3176431
4,6.6403558,3.3176431
5,6.588236299999999,3.3978098
6,6.625461199999999,3.4839356
7,6.5409839,3.3674149
8,6.531492,3.3359385
9,6.6055663,3.400014
10,6.614609,3.4733222
6,6.625461199999999,3.4839356
6,6.625461199999999,3.4839356
11,6.6195112,3.4629867
11,6.6195112,3.4629867
10,6.614609,3.4733222
12,6.505908000000001,3.3236003
12,6.505908000000001,3.3236003
13,6.579534199999999,3.3813509
14,6.4329553,3.4821678
5,6.588236299999999,3.3978098
1,6.5224636,3.3350587
1,6.5224636,3.3350587
8,6.531492,3.3359385
7,6.5409839,3.3674149
0,6.649112199999999,3.2710606
5,6.588236299999999,3.3978098
15,6.6052795,3.278803
16,6.59408,3.33625
5,6.588236299999999,3.3978098
3,6.6053337,3.2792438
7,6.5409839,3.3674149
17,6.6321593,3.5353721
6,6.625461199999999,3.4839356
18,6.434566999999999,3.492087
17,6.6321593,3.5353721
17,6.6321593,3.5353721
17,6.6321593,3.5353721
6,6.625461199999999,3.4839356
2,6.555018899999999,3.3962023
18,6.434566999999999,3.492087
19,6.4961142,3.4001874
19,6.4961142,3.4001874
14,6.4329553,3.4821678
20,6.4359204,3.4472259
13,6.579534199999999,3.3813509
8,6.531492,3.3359385
8,6.5316323,3.3360842
21,6.463470699999999,3.555718
20,6.4359204,3.4472259
20,6.4359204,3.4472259
20,6.4359204,3.4472259
21,6.463470699999999,3.555718
21,6.463470699999999,3.555718
14,6.4329553,3.4821678
20,6.435820199999999,3.4471546
6,6.625461199999999,3.4839356
9,6.6055663,3.400014
10,6.614609,3.4733222
2,6.555018899999999,3.3962023
5,6.588236299999999,3.3978098
9,6.6055663,3.400014
12,6.505908000000001,3.3236003
7,6.5409839,3.3674149
7,6.5409839,3.3674149
9,6.6055663,3.400014
8,6.531492,3.3359385
21,6.463470699999999,3.555718
13,6.579534199999999,3.3813509
11,6.6195112,3.4629867
11,6.6195112,3.4629867
16,6.59408,3.33625
16,6.59408,3.33625
16,6.59408,3.33625
5,6.588236299999999,3.3978098
2,6.555018899999999,3.3962023
2,6.555018899999999,3.3962023
3,6.6053337,3.2792438
0,6.649243999999999,3.2710745
11,6.6195112,3.4629867
19,6.4961142,3.4001874
5,6.588236299999999,3.3978098
22,6.5485326,3.3795882
22,6.5485326,3.3795882
22,6.5485326,3.3795882
11,6.6195112,3.4629867
11,6.6195112,3.4629867
10,6.614609,3.4733222
10,6.614609,3.4733222
19,6.4961142,3.4001874
17,6.6321593,3.5353721
19,6.4961142,3.4001874
19,6.4961142,3.4001874
19,6.4961142,3.4001874
2,6.555018899999999,3.3962023
6,6.625461199999999,3.4839356
17,6.6321593,3.5353721
1,6.5224636,3.3350587
13,6.579534199999999,3.3813509
19,6.4961142,3.4001874
6,6.625461199999999,3.4839356
6,6.625461199999999,3.4839356
0,6.649243999999999,3.2710745
6,6.625461199999999,3.4839356
5,6.588236299999999,3.3978098
18,6.434566999999999,3.492087
7,6.5409839,3.3674149
1,6.5224636,3.3350587
3,6.6053337,3.2792438
7,6.5409839,3.3674149
16,6.59408,3.33625
16,6.59408,3.33625
18,6.434566999999999,3.492087
18,6.434566999999999,3.492087
15,6.6052795,3.278803
21,6.463470699999999,3.555718
1,6.5224636,3.3350587
15,6.6052795,3.278803
12,6.505908000000001,3.3236003
19,6.4961142,3.4001874
20,6.4359204,3.4472259
3,6.6053337,3.2792438
18,6.434566999999999,3.492087
16,6.59408,3.33625
6,6.625461199999999,3.4839356
11,6.6195129,3.462825
19,6.4961142,3.4001874
8,6.531492,3.3359385
15,6.6052795,3.278803
5,6.588236299999999,3.3978098
22,6.5485326,3.3795882
7,6.5409839,3.3674149
3,6.6053337,3.2792438
20,6.435820199999999,3.4471546
3,6.6053337,3.2792438
2,6.555018899999999,3.3962023
16,6.59408,3.33625
2,6.555018899999999,3.3962023
19,6.4961142,3.4001874
8,6.531492,3.3359385
12,6.505908000000001,3.3236003
22,6.5485326,3.3795882
21,6.463470699999999,3.555718
13,6.579534199999999,3.3813509
10,6.614609,3.4733222
21,6.463470699999999,3.555718
15,6.6052795,3.278803
3,6.6053337,3.2792438
6,6.625461199999999,3.4839356
9,6.6055663,3.400014
10,6.614609,3.4733222
6,6.625461199999999,3.4839356
11,6.6195112,3.4629867
6,6.625461199999999,3.4839356
5,6.588236299999999,3.3978098
3,6.6053337,3.2792438
0,6.649243999999999,3.2710745
14,6.4329553,3.4821678
6,6.625461199999999,3.4839356
18,6.434566999999999,3.492087
18,6.434566999999999,3.492087
18,6.434566999999999,3.492087
14,6.4329553,3.4821678
14,6.4329553,3.4821678
20,6.435820199999999,3.4471546
6,6.625461199999999,3.4839356
